"Plot7"
"Time (sec)","Motor Torque1 (newton-mm)"
0,7529.02028452961
0.04,5237.99980045151
0.08,2503.11760052638
0.12,114.432668826864
0.16,2349.18618914569
0.2,4025.89378203548
0.24,5003.27494991155
0.28,5207.30413645139
0.32,4682.62573051518
0.36,3589.88276813033
0.4,2130.14394890341
0.44,449.957767701654
0.48,1410.07877744989
0.52,3505.85983237037
0.56,5921.11037677562
0.6,8590.62766426731
0.64,10865.6194957005
0.68,10724.784822525
0.72,4650.57736956223
0.76,8161.01786412469
0.8,18523.2895585871
0.84,15583.9125682627
0.88,4131.22963649364
0.92,4875.63056067997
0.96,8137.72404853128
1,7529.02028452965
