"Plot2"
"Time (sec)","Reaction Force2 (newton)","Reaction Force3 (newton)","Reaction Force4 (newton)","Reaction Force6 (newton)"
0,4.04338953302149,30.5186265170215,-8.19468150916347,-28.6102396635208
0.04,1.08827690467959,15.2120196799754,-5.60433881817006,-14.8182091434045
0.08,-2.36530006751854,2.0872097584926,-4.32259491475358,-3.23272010319813
0.12,-5.59163874825428,-9.15969736223436,-3.63953466875873,6.54684276410262
0.16,-7.96010374466329,-18.6531435211374,-2.9868921514236,14.7371199333871
0.2,-9.09917018249053,-26.3003403738502,-2.05524058204554,21.327205960627
0.24,-8.98511140351651,-31.8681628504427,-0.816777330395787,26.1503979368384
0.28,-7.93079326595015,-35.120348541946,0.535557867967531,29.0172213259507
0.32,-6.44763336848589,-35.9802006681088,1.73198575164016,29.8751930784353
0.36,-5.03972500527253,-34.637263658531,2.58390655919331,28.9139757746859
0.4,-4.06150219940558,-31.5262793555016,3.05196106790647,26.5443264040072
0.44,-3.71581565002622,-27.2076911309741,3.19550708715201,23.2801075381142
0.48,-4.14587661582446,-22.2516667339183,3.07507570922143,19.6252370214742
0.52,-5.52035668023636,-17.1868008685851,2.69020773738261,16.0265532747225
0.56,-8.02362214169533,-12.4894277568076,1.98926710706009,12.8682649049411
0.6,-11.6386009941453,-8.52917489063532,0.973662814859382,10.4232930494821
0.64,-15.5348239809617,-5.30060967588336,-0.0792669715029239,8.59099443544379
0.68,-17.1042979447416,-1.58179887389755,-0.461928969757928,6.06170325853977
0.72,-12.2785372226017,6.65471580257108,0.0783630405529232,-1.26678066126994
0.76,-0.686520149807863,25.775637421712,-1.25364532275042,-19.8182153041192
0.8,9.22857979697523,54.932222107083,-8.74276938837199,-48.779639754713
0.84,10.8201305317499,77.557626583614,-18.5067439440932,-71.5964733732811
0.88,8.57111240932469,79.8262464199592,-21.7942138030943,-74.4310835314565
0.92,7.07525350007378,66.4595877686602,-18.1808070561002,-61.9694131282935
0.96,5.97491473560283,48.0964846393605,-12.5938305797839,-44.7934324334913
1,4.04338953302156,30.518626517022,-8.19468150916357,-28.6102396635213
